,precision,recall,f1-score,support
Post-30s,0.5570836212854181,0.8815616797900262,0.6827305835521301,9144.0
Pre-30s,0.8075350986315977,0.41486350771478137,0.548130277442702,10953.0
accuracy,0.6272080410011445,0.6272080410011445,0.6272080410011445,0.6272080410011445
macro avg,0.6823093599585079,0.6482125937524038,0.6154304304974161,20097.0
weighted avg,0.6935813588269768,0.6272080410011445,0.6093725125556348,20097.0
